simulationId,age,partBody,time,phase,traineeId,Nacciones
369,21,"leftLeg",30,"prehospitalaria",8,30
370,22,"leftLeg",30,"hospitalaria",8,25
371,21,"pelvis",30,"prehospitalaria",8,46
372,22,"pelvis",30,"hospitalaria",8,24
377,21,"pelvis",30,"prehospitalaria",32,1
379,21,"leftLeg",30,"prehospitalaria",32,1
381,22,"leftLeg",30,"hospitalaria",32,8
383,22,"pelvis",30,"hospitalaria",32,1
397,21,"pelvis",30,"prehospitalaria",33,1
398,22,"pelvis",30,"hospitalaria",33,9
403,21,"leftLeg",30,"prehospitalaria",33,1
404,22,"leftLeg",30,"hospitalaria",33,1
405,21,"pelvis",30,"prehospitalaria",29,44
407,22,"pelvis",30,"hospitalaria",29,165
409,21,"leftLeg",30,"prehospitalaria",29,61
411,22,"leftLeg",30,"hospitalaria",29,202
425,21,"pelvis",30,"prehospitalaria",34,1
427,22,"leftLeg",30,"hospitalaria",34,7
429,22,"pelvis",30,"hospitalaria",34,1
432,21,"leftLeg",30,"prehospitalaria",34,1
458,21,"pelvis",30,"prehospitalaria",35,146
459,22,"pelvis",30,"hospitalaria",35,26
462,21,"leftLeg",30,"prehospitalaria",35,28
463,22,"leftLeg",30,"hospitalaria",35,21
477,21,"pelvis",30,"prehospitalaria",36,21
480,22,"pelvis",30,"hospitalaria",36,36
483,21,"leftLeg",30,"prehospitalaria",36,21
484,22,"leftLeg",30,"hospitalaria",36,31
509,21,"pelvis",30,"prehospitalaria",11,2
510,21,"leftLeg",30,"prehospitalaria",11,18
511,22,"pelvis",30,"hospitalaria",11,17
514,22,"leftLeg",30,"hospitalaria",11,14
517,21,"pelvis",30,"prehospitalaria",38,97
519,21,"leftLeg",30,"prehospitalaria",38,21
520,22,"pelvis",30,"hospitalaria",38,9
521,22,"leftLeg",30,"hospitalaria",38,3
525,21,"pelvis",30,"prehospitalaria",39,40
526,21,"leftLeg",30,"prehospitalaria",39,1
529,22,"pelvis",30,"hospitalaria",39,17
530,22,"leftLeg",30,"hospitalaria",39,1
533,21,"pelvis",30,"prehospitalaria",40,107
534,22,"leftLeg",30,"hospitalaria",40,20
536,21,"leftLeg",30,"prehospitalaria",40,27
538,22,"pelvis",30,"hospitalaria",40,16
565,22,"pelvis",30,"hospitalaria",43,1
566,21,"pelvis",30,"prehospitalaria",43,35
568,21,"leftLeg",30,"prehospitalaria",43,35
570,22,"leftLeg",30,"hospitalaria",43,1
597,22,"pelvis",30,"hospitalaria",46,2
599,21,"pelvis",30,"prehospitalaria",46,9
602,22,"leftLeg",30,"hospitalaria",46,1
603,21,"leftLeg",30,"prehospitalaria",46,1
629,21,"pelvis",30,"prehospitalaria",48,5
630,22,"pelvis",30,"hospitalaria",48,3
637,21,"pelvis",30,"prehospitalaria",49,1
638,22,"pelvis",30,"hospitalaria",49,1
641,22,"leftLeg",30,"hospitalaria",49,1
642,21,"leftLeg",30,"prehospitalaria",49,1
645,21,"pelvis",30,"prehospitalaria",50,1
648,22,"pelvis",30,"hospitalaria",50,1
649,22,"leftLeg",30,"hospitalaria",50,1
650,21,"leftLeg",30,"prehospitalaria",50,1
654,21,"pelvis",30,"prehospitalaria",51,19
655,22,"leftLeg",30,"hospitalaria",51,8
657,22,"pelvis",30,"hospitalaria",51,4
658,21,"leftLeg",30,"prehospitalaria",51,22
709,22,"pelvis",30,"hospitalaria",54,27
710,21,"pelvis",30,"prehospitalaria",54,28
712,22,"leftLeg",30,"hospitalaria",54,20
715,21,"leftLeg",30,"prehospitalaria",54,53
741,21,"pelvis",30,"prehospitalaria",53,22
742,22,"pelvis",30,"hospitalaria",53,58
747,21,"leftLeg",30,"prehospitalaria",53,14
748,22,"leftLeg",30,"hospitalaria",53,1
749,21,"pelvis",30,"prehospitalaria",55,1
750,22,"pelvis",30,"hospitalaria",55,1
753,21,"leftLeg",30,"prehospitalaria",55,1
754,22,"leftLeg",30,"hospitalaria",55,1
781,21,"pelvis",30,"prehospitalaria",57,1
782,21,"leftLeg",30,"prehospitalaria",57,1
783,22,"pelvis",30,"hospitalaria",57,1
785,22,"leftLeg",30,"hospitalaria",57,1
837,21,"leftLeg",30,"prehospitalaria",60,25
838,21,"pelvis",30,"prehospitalaria",60,50
841,22,"pelvis",30,"hospitalaria",60,1
843,22,"leftLeg",30,"hospitalaria",60,14
869,21,"pelvis",30,"prehospitalaria",64,20
870,22,"leftLeg",30,"hospitalaria",64,1
874,22,"pelvis",30,"hospitalaria",64,1
876,21,"leftLeg",30,"prehospitalaria",64,21
901,22,"pelvis",30,"hospitalaria",66,24
902,21,"pelvis",30,"prehospitalaria",66,16
903,22,"leftLeg",30,"hospitalaria",66,37
905,21,"leftLeg",30,"prehospitalaria",66,17
909,21,"pelvis",30,"prehospitalaria",67,19
910,22,"leftLeg",30,"hospitalaria",67,1
911,22,"pelvis",30,"hospitalaria",67,1
913,21,"leftLeg",30,"prehospitalaria",67,1
917,22,"pelvis",30,"hospitalaria",68,1
918,21,"pelvis",30,"prehospitalaria",68,1
920,21,"leftLeg",30,"prehospitalaria",68,1
923,22,"leftLeg",30,"hospitalaria",68,1
949,21,"pelvis",30,"prehospitalaria",70,39
950,22,"pelvis",30,"hospitalaria",70,1
951,21,"leftLeg",30,"prehospitalaria",70,1
954,22,"leftLeg",30,"hospitalaria",70,1
957,21,"pelvis",30,"prehospitalaria",71,92
959,22,"pelvis",30,"hospitalaria",71,21
960,22,"leftLeg",30,"hospitalaria",71,1
962,21,"leftLeg",30,"prehospitalaria",71,25
990,22,"pelvis",30,"hospitalaria",72,1
992,22,"leftLeg",30,"hospitalaria",72,1
993,21,"pelvis",30,"prehospitalaria",72,1
996,21,"leftLeg",30,"prehospitalaria",72,1
997,21,"pelvis",30,"prehospitalaria",65,7
1000,22,"leftLeg",30,"hospitalaria",65,1
1001,22,"pelvis",30,"hospitalaria",65,1
1003,21,"leftLeg",30,"prehospitalaria",65,1
1005,21,"pelvis",30,"prehospitalaria",73,1
1006,22,"pelvis",30,"hospitalaria",73,1
1009,21,"leftLeg",30,"prehospitalaria",73,1
1010,22,"leftLeg",30,"hospitalaria",73,1
